id,current_location,main_find_spot,specific_find_spot,catalogue_number,expedition_or_collection,site_mark_or_collection_number,language,script,genre,subgenre,archive,title,content_summary,date1,date2,number_of_folios,number_of_used_sides,total_number_of_lines,writing_surface,shape_and_dimensions,image,alltext_correspondance ,translation,commentary,bibliography,
1,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6392/1,Hoernle,"Hoernle 1, M.9",1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,1 Contract,2,,Contract of ding,"Year 17, 5th day, Skarhvara month",,1,1,12,1 paper,,http://idp.bl.uk/idp.a4d,1,,,KT II: 64 (25); Catalogue: 3 ,
2,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6391/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,loan of grain,Year 11. 8th days. Cvataja month,,1,1,9,1 paper,,http://idp.bl.uk/idp.a4d,2,,,KT V: 1 (1); Catalogue: 4,
3,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6393/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Arrjāṃ’s petition to spāta Gaudaka for getting back his son,,,1,1,8,1 paper,,http://idp.bl.uk/idp.a4d,3,,,KT V: 1 (2); Catalogue: 4,
4,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6393/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Land purchase,7th month; 22th day,,1,1,7,1 paper,,http://idp.bl.uk/idp.a4d,4,,,KT V: 2 (3); Catalogue: 4,
5,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6394/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Order on cloth,7th month 10th day,,1,1,6,1 paper,,http://idp.bl.uk/idp.a4d,5,,,KT II: 65 (26); Catalogue: 5,
6,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6394/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Order requesting money for winter clothes and poll tax of the second month ,5th month. 6th day,,1,1,7,1 paper,,http://idp.bl.uk/idp.a4d,6,,,KT V: 2 (5); Catalogue: 5,
7,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6395/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Contract of giving a man as tax payment,Year 22. 23rd days. Skarihvara month,,1,1,22,1 paper,,http://idp.bl.uk/idp.a4d,7,,,KT V: 3 (6); Catalogue:6,
8,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6395/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Tax agreement,Year 17. 17th days. Rrahaja month,,1,1,6,1 paper,,http://idp.bl.uk/idp.a4d,8,,,KT II: 65 (27); Catalogue:7,
9,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6396/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Voucher ,Year 20. 20th days. Rrahaja month (Line 1-8) 26th days. Rrahaja month (Line 9-11),,1,1,11,1 paper,,http://idp.bl.uk/idp.a4d,9,,,KT V: 4 (8); Catalogue: 7,
10,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6396/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Tax agreement,Year 19. 29th days. Bramkhaysja month,,1,1,8,1 paper,,http://idp.bl.uk/idp.a4d,10,,,KT V: 5 (9); Catalogue: 8,
11,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6397/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Land purchase,Year 20. 13rd days. Cvataja month,,1,1,8,1 paper,,http://idp.bl.uk/idp.a4d,11,,,KT II: 66 (30); Catalogue: 9,
12,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6397/2,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,Loan of mūrās,Year 20. 10thdays. Kaja month,,1,1,13,1 paper,,http://idp.bl.uk/idp.a4d,12,,,KT II: 65 (28); Catalogue: 9,
13,"1 British Library, London, UK",1 Khotan,4 Dandan-Uiliq,Or.6398/1-10,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,,,,1,1,2,1 paper,,http://idp.bl.uk/idp.a4d,13,,,KT V: 6-8 (12-19); Catalogue: 10,
14,"1 British Library, London, UK",1 Khotan,5 Domoko,Or.11252/1,,,1 Khotanese,"2 Southern Brahmī, cursive",1 Secular,,,,,,,1,1,57,1 paper,,http://idp.bl.uk/idp.a4d,14,,,KT III: 13 (2); Catalogue: 82,
